,Term,Concept_Type,Seminatic_type
0,nv,Nevada <Geographic Area>,Geographic Area
1,arm,Armenia,Geographic Area
2,mg,Madagascar,Geographic Area
3,moon,Moon,Geographic Area
4,nl,Netherlands,Geographic Area
5,nd,North Dakota (geographic location),Geographic Area
6,mL,Mali,Geographic Area
7,cm,Cameroon,Geographic Area
8,state,Geographic state,Geographic Area
9,ml,Mali,Geographic Area
